Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
,CAT,DOMESTIC SH,BLACK,Male,KITTN,,K17-026134,FREEZER,A363799,11/1/2017,11/1/2017,0,STRAY,FIELD,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
SUGAR,DOG,LABRADOR RETR,YELLOW,Neutered,LARGE,9/24/2008,K17-022441,DS75,A228255,2/3/2017,2/4/2017,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95404,"95404(38.458384, -122.675588)",1
MIMS,CAT,DOMESTIC SH,CALICO,Spayed,KITTN,10/13/2017,K17-026771,LOBBY,A366380,12/22/2017,1/17/2018,26,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*MILLIE,DOG,CHIHUAHUA SH,BLUE/TAN,Spayed,TOY,3/29/2009,K17-022804,DA05,A349551,3/15/2017,5/6/2017,52,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,SANTA ROSA,OUT OF COUNTY,94591,"94591(38.107585, -122.209634)",1
SAM,DOG,LABRADOR RETR,YELLOW,Male,LARGE,11/1/2007,K14-007704,DS66,A211734,2/13/2014,2/14/2014,1,STRAY,FIELD,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,SANTA ROSA,*CLOVERDALE,95425,"95425(38.790859, -123.010876)",1
DIXIE,DOG,AUST CATTLE DOG/MIX,BLUE MERLE/TAN,Spayed,MED,5/8/2012,K14-008769,DA44,A306350,5/8/2014,5/24/2014,16,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
BEAUTY,DOG,CAIRN TERRIER,WHITE,Female,SMALL,4/27/2010,K16-018406,TX,A328651,4/9/2016,5/13/2016,34,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
IAN,DOG,CAVALIER SPAN/MIX,WHITE/RED,Neutered,SMALL,8/27/2009,K14-010330,RECEIVING,A310283,8/18/2014,3/18/2015,212,CONFISCATE,FLD_EVICT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95401,"95401(38.446019, -122.766748)",1
,OTHER,SHEEP,WHITE,Female,MED,,K17-026490,LS01,A365033,11/29/2017,12/6/2017,7,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95404,"95404(38.458384, -122.675588)",1
,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,6/22/2011,K17-024052,TRUCK,A354201,6/22/2017,6/22/2017,0,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
BEAR,DOG,NORFOLK TERRIER/MIX,BLACK/TAN,Neutered,SMALL,,K14-008607,DS58,A305972,4/26/2014,4/26/2014,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
,DOG,LABRADOR RETR/PIT BULL,YELLOW,Male,MED,9/15/2015,K17-025337,DS75,A360950,9/15/2017,9/23/2017,8,STRAY,FIELD,TRANSFER,PETALUMAAS,UNKNOWN,HEALTHY,SANTA ROSA,*PETALUMA,94952,"94952(38.236012, -122.730241)",1
*JOHNNY,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,7/6/2015,K16-019600,CS05,A339293,7/6/2016,7/23/2016,17,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448(38.618857, -122.861927)",1
*JACK,CAT,DOMESTIC MH,WHITE,Neutered,SMALL,2/24/2015,K18-027382,CA02,A369120,2/24/2018,3/7/2018,11,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
SHASTA,DOG,BORDER COLLIE/MIX,BLACK/WHITE,Spayed,LARGE,1/1/2005,K14-012183,TRUCK,A024906,12/22/2014,12/22/2014,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,,K16-018471,CS06,A335550,4/14/2016,4/21/2016,7,STRAY,COMM CAT,RETURN TO OWNER,COMMCAT,HEALTHY,TREATABLE/MANAGEABLE,COUNTY,COUNTY,94952,"94952(38.236012, -122.730241)",1
*MISSY,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,10/27/2013,K15-016567,CS04,A329256,10/27/2015,11/17/2015,21,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*BARB,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,7/15/2015,K15-016152,WESTFARM,A327749,9/26/2015,10/6/2015,10,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
CAL,DOG,GERM SHEPHERD,WHITE,Neutered,LARGE,9/1/2013,K17-022940,DA15,A306882,3/28/2017,4/28/2017,31,ADOPTION RETURN,OVER THE COUNTER,TRANSFER,GREEN DOG,TREATABLE/MANAGEABLE,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
CILO,DOG,PIT BULL,BLUE,Neutered,MED,,K16-018305,TRUCK,A335127,4/2/2016,4/2/2016,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,WINDSOR,WINDSOR,95492,"95492(38.541541, -122.809202)",1
CATULIN,DOG,GERM SHEPHERD,BLACK,Male,LARGE,,K14-011414,TRUCK,A313012,10/23/2014,10/23/2014,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,COUNTY,,,,1
*BOSCO,DOG,BOSTON TERRIER,BROWN/WHITE,Neutered,SMALL,3/11/2011,K14-007936,DA16,A303568,3/4/2014,3/12/2014,8,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,95616,"95616(38.555454, -121.7738)",1
BLUCHER,DOG,GERM SH POINT,BLACK/WHITE,Male,LARGE,2/3/2008,K18-027159,DS86,A367907,2/3/2018,2/3/2018,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,HEALTHY,HEALTHY,COUNTY,COUNTY,95476,"95476(38.280393, -122.464588)",1
*ZOE,DOG,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,12/26/2013,K15-017246,DA37,A331379,12/26/2015,1/8/2016,13,STRAY,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
ROXY,DOG,CHIHUAHUA LH,RED,Spayed,TOY,9/16/2012,K14-010816,DA12,A311652,9/16/2014,9/30/2014,14,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,WINDSOR,*CLOVERDALE,95425,"95425(38.790859, -123.010876)",1
JACK,DOG,LABRADOR RETR/MIX,BLACK,Neutered,MED,10/6/2008,K16-021047,DS76,A343230,10/5/2016,10/6/2016,1,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94901,"94901(37.973771, -122.51209)",1
*SAMMY,CAT,DOMESTIC LH,GRAY TABBY/WHITE,Neutered,KITTN,4/7/2015,K15-013832,LOBBY,A321402,5/7/2015,6/9/2015,33,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
POPEYE,CAT,DOMESTIC SH,GRAY,Neutered,SMALL,,K14-009467,CA03,A308298,6/24/2014,6/25/2014,1,CONFISCATE,OVER THE COUNTER_CORONR,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94061,"94061(37.462383, -122.234589)",1
LEROY,DOG,PIT BULL/CATAHOULA,BR BRINDLE,Male,LARGE,12/23/2016,K17-024965,DS83,A357542,8/22/2017,8/24/2017,2,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,HEALTHY,COUNTY,OUT OF COUNTY,95945,"95945(39.204393, -120.981879)",1
GARDENIA,CAT,DOMESTIC SH,TORTIE,Female,SMALL,9/11/2007,K15-015904,CA02,A326881,9/10/2015,9/11/2015,1,STRAY,COMM CAT,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,*PETALUMA,94954,"94954(38.245316, -122.59871)",1
SPOT,CAT,DOMESTIC SH,GRAY,Neutered,SMALL,4/12/2011,K14-008433,WESTFARM,A305305,4/12/2014,4/28/2014,16,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95404,"95404(38.458384, -122.675588)",1
,OTHER,CHICKEN,RED,Male,SMALL,,K18-027117,LS02,A367846,1/30/2018,2/16/2018,17,STRAY,OVER THE COUNTER,TRANSFER,WESTFARM,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
LYSITHEA,CAT,DOMESTIC SH,BLUE CREAM/TORTIE,Spayed,SMALL,2/17/2016,K17-022574,CA02,A348521,2/17/2017,2/28/2017,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*SUGAR BEAR,DOG,PIT BULL/CHINESE SHARPEI,BROWN/BLACK,Spayed,LARGE,9/30/2012,K15-016332,DS84,A327315,10/9/2015,11/13/2015,35,ADOPTION RETURN,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,HEALTHY,TREATABLE/MANAGEABLE,COUNTY,,,,1
GHOTTI,DOG,PIT BULL/ROTTWEILER,BLACK/TAN,Male,LARGE,8/24/2013,K14-011824,DQ111,A314258,11/24/2014,12/1/2014,7,QUARANTINE,FLD_STRAY,EUTHANIZE,BEH SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
,OTHER,FLEMISH GIANT,BROWN,Female,SMALL,,K17-024331,CS06,A354862,7/10/2017,7/18/2017,8,STRAY,FIELD,TRANSFER,SAVEABUNNY,HEALTHY,HEALTHY,COUNTY,COUNTY,94941,"94941(37.896402, -122.547447)",1
,DOG,PIT BULL/MIX,TAN,Neutered,MED,12/24/2005,K14-012128,DQ111,A314998,12/17/2014,12/24/2014,7,STRAY,FIELD,EUTHANIZE,BEH SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
,OTHER,SHEEP,WHITE,Female,LARGE,,K18-027528,YARD,A369364,3/12/2018,3/13/2018,1,STRAY,FIELD,RETURN TO OWNER,,UNKNOWN,,COUNTY,COUNTY,95472,"95472(38.394388, -122.850998)",1
